,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres
9530,Ek Qissa He Quran Se (Qurani Waqiyat),FAMILY,5.0,4,2.0,100,Free,0.0,Everyone,Entertainment
7035,420 BZ Budeze Delivery,MEDICAL,5.0,2,11,100,Free,0.0,Mature 17+,Medical
9518,Asha Ek Hope - ALS/ MND,MEDICAL,5.0,2,11,100,Free,0.0,Everyone,Medical
9517,Ek Vote,PRODUCTIVITY,5.0,43,6.2,500,Free,0.0,Everyone,Productivity
5064,Tafsiir Quraan MP3 Af Soomaali Quraanka Kariimka,LIFESTYLE,5.0,7,3.4,1000,Free,0.0,Everyone,Lifestyle
9512,Hum Ek Hain 2.02,SOCIAL,5.0,2,1.8,10,Free,0.0,Teen,Social
6840,Catholic La Bu Zo Kam,BOOKS_AND_REFERENCE,5.0,23,Varies with device,500,Free,0.0,Everyone,Books & Reference
6823,Barisal University App-BU Face,FAMILY,5.0,100,10,1000,Free,0.0,Everyone,Education
9498,EK Bailey Preaching Conference,EVENTS,5.0,3,30,500,Free,0.0,Everyone,Events
6726,COMSATS BOOK STORE FOR BS(CS),FAMILY,5.0,15,94,50,Free,0.0,Everyone,Education
10297,Story Time FD,FAMILY,5.0,2,4.2,10,Free,0.0,Everyone 10+,Simulation
8018,30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1,3.7,10,Paid,1.49,Everyone,Education
9365,Eh Bee Wallpapers HD,PERSONALIZATION,5.0,4,3.9,100,Free,0.0,Everyone,Personalization
10301,"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",FINANCE,5.0,104,2.3,1000,Free,0.0,Everyone,Finance
4539,R Programing Offline Tutorial,BOOKS_AND_REFERENCE,5.0,4,3.9,1000,Free,0.0,Everyone,Books & Reference
8058,Oración CX,LIFESTYLE,5.0,103,3.8,5000,Free,0.0,Everyone,Lifestyle
8063,cx advance call blocker,PERSONALIZATION,5.0,3,3.4,50,Free,0.0,Everyone,Personalization
5263,AJ Blue Icon Pack,PERSONALIZATION,5.0,4,31,50,Paid,0.99,Everyone,Personalization
9341,EG India,LIFESTYLE,5.0,3,4.0,100,Free,0.0,Everyone,Lifestyle
5268,AJ Rafael Music Lessons,FAMILY,5.0,1,8.2,10,Free,0.0,Everyone,Entertainment
2450,Tablet Reminder,MEDICAL,5.0,4,2.5,5,Free,0.0,Everyone,Medical
8102,Cy-Fair VFD EMS Protocols,MEDICAL,5.0,2,20,100,Free,0.0,Everyone 10+,Medical
8104,Cy-Fair Christian Church,LIFESTYLE,5.0,2,9.3,100,Free,0.0,Everyone,Lifestyle
4477,Android P Style Icon Pack,PERSONALIZATION,5.0,1,60,100,Paid,0.99,Everyone,Personalization
6727,BS-Mobile,COMMUNICATION,5.0,1,0.683,50,Free,0.0,Everyone,Communication
5260,AJ Gray Dark Icon Pack,PERSONALIZATION,5.0,2,35,10,Paid,0.99,Everyone,Personalization
8014,Morse Player,FAMILY,5.0,12,2.4,100,Paid,1.99,Everyone,Education
5237,Hey AJ! It's Saturday!,BOOKS_AND_REFERENCE,5.0,12,50,100,Paid,3.99,Everyone,Books & Reference
9496,Master E.K,FAMILY,5.0,90,Varies with device,1000,Free,0.0,Everyone,Education
6816,BU Study,FAMILY,5.0,7,5.6,10,Free,0.0,Everyone,Education
6807,Jabbla BT,TOOLS,5.0,3,0.055,100,Free,0.0,Everyone,Tools
5230,AJ Cam,PHOTOGRAPHY,5.0,44,2.8,100,Free,0.0,Everyone,Photography
10266,Noticias FC Barcelona,NEWS_AND_MAGAZINES,5.0,4,3.1,100,Free,0.0,Everyone,News & Magazines
9455,EJ messenger,COMMUNICATION,5.0,1,25,10,Free,0.0,Teen,Communication
6783,Wifi BT Scanner,FAMILY,5.0,2,1.2,500,Free,0.0,Everyone,Education
9411,NEMA ei,BUSINESS,5.0,4,12,100,Free,0.0,Everyone,Business
5238,Selfie With Champion AJ Style,PHOTOGRAPHY,5.0,2,7.5,500,Free,0.0,Everyone,Photography
9444,"Kolkata News:Anandbazar Patrika,ei samay&AllRating",NEWS_AND_MAGAZINES,5.0,10,5.0,100,Free,0.0,Everyone,News & Magazines
5245,AJ RETAILS,SHOPPING,5.0,9,0.169,10,Free,0.0,Everyone,Shopping
5246,Hey AJ! It's Bedtime!,FAMILY,5.0,1,63,10,Paid,4.99,Everyone,Education
5251,AJ Men's Grooming,LIFESTYLE,5.0,2,22,100,Free,0.0,Everyone,Lifestyle
9427,ei Calc,TOOLS,5.0,2,19,10,Free,0.0,Everyone,Tools
7136,CB News,FAMILY,5.0,7,20,50,Free,0.0,Everyone,Education
7139,CB Register,FAMILY,5.0,1,5.6,10,Free,0.0,Everyone,Entertainment
7865,CT Brain Interpretation,FAMILY,5.0,3,29,500,Free,0.0,Everyone,Education
1038,Mindvalley U Tallinn 2018,EVENTS,5.0,1,21,100,Free,0.0,Everyone,Events
7477,USMLE Step 2 CK Flashcards,FAMILY,5.0,1,40,10,Paid,19.99,Everyone,Education
9659,FAST EO,EVENTS,5.0,1,Varies with device,10,Free,0.0,Everyone,Events
7478,CK Employee Portal,BUSINESS,5.0,7,15,1000,Free,0.0,Everyone,Business
7405,Nur təfsiri 1-ci cild,LIBRARIES_AND_DEMO,5.0,15,1.4,1000,Free,0.0,Everyone,Libraries & Demo
7482,Tic Tac CK,FAMILY,5.0,3,13,10,Free,0.0,Everyone,Puzzle
2477,Basics of Orthopaedics,MEDICAL,5.0,1,5.6,10,Free,0.0,Everyone,Medical
9806,Dr. ES PV Calculator,TOOLS,5.0,19,11,500,Free,0.0,Everyone,Tools
7402,Trovami se ci riesci,GAME,5.0,11,6.1,10,Free,0.0,Everyone,Arcade
7506,CL REPL,TOOLS,5.0,47,17,1000,Free,0.0,Everyone,Tools
9810,ES Billing System (Offline App),PRODUCTIVITY,5.0,1,4.2,100,Free,0.0,Everyone,Productivity
1028,SUMMER SONIC app,EVENTS,5.0,4,61,500,Free,0.0,Everyone,Events
1030,Prosperity,EVENTS,5.0,16,2.3,100,Free,0.0,Everyone,Events
2484,Clinic Doctor EHr,MEDICAL,5.0,2,7.1,5,Free,0.0,Everyone,Medical
2427,Sway Medical,MEDICAL,5.0,3,22,100,Free,0.0,Everyone,Medical
9815,ES Solar,BUSINESS,5.0,3,4.7,100,Free,0.0,Everyone,Business
7418,CJ Gospel Hour,SOCIAL,5.0,7,18,100,Free,0.0,Everyone,Social
7422,CJ'S TIRE AND AUTO INC.,PRODUCTIVITY,5.0,5,11,100,Free,0.0,Everyone,Productivity
7433,The CJ Rubric,HEALTH_AND_FITNESS,5.0,5,43,100,Free,0.0,Everyone,Health & Fitness
2445,Labs on Demand,MEDICAL,5.0,1,22,10,Free,0.0,Everyone,Medical
2452,Galaxies of Hope,MEDICAL,5.0,2,24,50,Free,0.0,Everyone,Medical
2454,KBA-EZ Health Guide,MEDICAL,5.0,4,25,1,Free,0.0,Everyone,Medical
2455,FoothillsVet,MEDICAL,5.0,2,29,50,Free,0.0,Everyone,Medical
2457,PrimeDelivery,MEDICAL,5.0,3,53,10,Free,0.0,Everyone,Medical
2458,You're an Anime,MEDICAL,5.0,2,83,10,Free,0.0,Everyone,Medical
9701,EP Church Annapolis,LIFESTYLE,5.0,2,8.8,100,Free,0.0,Everyone,Lifestyle
9705,EP Radio,FAMILY,5.0,3,0.154,50,Free,0.0,Everyone,Entertainment
9766,ER Assist,PRODUCTIVITY,5.0,3,28,10,Free,0.0,Everyone,Productivity
7444,CJ the REALTOR,BUSINESS,5.0,1,4.2,10,Free,0.0,Everyone,Business
7442,Sir C J New Primary School,FAMILY,5.0,3,9.2,100,Free,0.0,Everyone,Education
2459,Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5.0,1,4.6,5,Free,0.0,Everyone,Medical
7466,211:CK,GAME,5.0,8,38,10,Paid,0.99,Teen,Arcade
2472,NCLEX Multi-topic Nursing Exam Review-Quiz & notes,MEDICAL,5.0,1,4.2,10,Free,0.0,Everyone,Medical
7435,CJ's Coffee Cafe,TRAVEL_AND_LOCAL,5.0,6,2.4,500,Free,0.0,Everyone,Travel & Local
7377,CI 174 Gray Icon Pack,PERSONALIZATION,5.0,1,46,10,Paid,0.99,Everyone,Personalization
329,Hojiboy Tojiboyev Life Hacks,COMICS,5.0,15,37,1000,Free,0.0,Everyone,Comics
7142,Cb browser,COMMUNICATION,5.0,5,3.7,50,Free,0.0,Everyone,Communication
7514,CL Keyboard - Myanmar Keyboard (No Ads),TOOLS,5.0,24,3.2,5000,Free,0.0,Everyone,Tools
7698,CP Trivia,GAME,5.0,5,12,100,Free,0.0,Everyone,Trivia
7195,CE Smart,TOOLS,5.0,3,29,100,Free,0.0,Everyone,Tools
9899,EU Exit poll,LIFESTYLE,5.0,10,9.4,100,Free,0.0,Everyone,Lifestyle
9911,daskal.eu,FAMILY,5.0,5,15,50,Free,0.0,Everyone,Education
7731,CQ ESPM,BUSINESS,5.0,2,3.4,5,Free,0.0,Everyone,Business
7170,Yazdani Cd Center EllahAbad Official App,FAMILY,5.0,8,3.8,500,Free,0.0,Everyone,Entertainment
7164,CD CHOICE TUBE,FAMILY,5.0,10,5.8,500,Free,0.0,Everyone,Entertainment
7754,CricQuick,SPORTS,5.0,17,1.5,50,Free,0.0,Everyone,Sports
7756,iReadMe,PRODUCTIVITY,5.0,8,22,100,Free,0.0,Everyone,Productivity
7799,Cr Aviation Academy,FAMILY,5.0,7,22,100,Free,0.0,Everyone,Education
7147,CB Heroes,SOCIAL,5.0,5,1.8,5,Free,0.0,Everyone,Social
7805,CR Tracker for Chests,TOOLS,5.0,6,4.5,50,Free,0.0,Everyone,Tools
7842,CS & IT Interview Questions,FAMILY,5.0,43,3.3,1000,Free,0.0,Everyone,Education
7204,TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1,27,100,Paid,4.99,Everyone,Education
7212,MCQ CE IT,FAMILY,5.0,22,3.6,1000,Free,0.0,Everyone,Education
7697,CP Installer App,BUSINESS,5.0,4,24,100,Free,0.0,Everyone,Business
7320,CG - Chemistry free,FAMILY,5.0,7,2.3,1000,Free,0.0,Everyone,Education
7367,"Startupticker.ch News, Events",NEWS_AND_MAGAZINES,5.0,4,10,100,Free,0.0,Everyone,News & Magazines
7517,CL Notifier,TOOLS,5.0,36,3.2,100,Free,0.0,Teen,Tools
7533,Color CL,LIFESTYLE,5.0,2,1.3,100,Free,0.0,Everyone,Lifestyle
7534,CL Strength,HEALTH_AND_FITNESS,5.0,3,40,50,Free,0.0,Everyone,Health & Fitness
7623,CN Resident,FAMILY,5.0,1,64,100,Free,0.0,Everyone,Entertainment
8861,WPBS-DT,FAMILY,5.0,3,6.3,500,Free,0.0,Everyone,Entertainment
7307,CG FM,FAMILY,5.0,2,6.6,500,Free,0.0,Everyone,Entertainment
7239,CF Life,FAMILY,5.0,4,8.3,100,Free,0.0,Everyone,Education
7291,CG Prints,PHOTOGRAPHY,5.0,1,2.3,100,Free,0.0,Everyone,Photography
7696,Foothills CP,FAMILY,5.0,4,7.8,100,Free,0.0,Teen,Education
7270,CF Townsville,HEALTH_AND_FITNESS,5.0,4,14,100,Free,0.0,Everyone,Health & Fitness
7258,CF,FINANCE,5.0,2,2.0,100,Free,0.0,Everyone,Finance
7245,Overcomers CF - GA,LIFESTYLE,5.0,7,11,100,Free,0.0,Everyone,Lifestyle
7243,Unity CF,LIFESTYLE,5.0,5,8.3,100,Free,0.0,Everyone,Lifestyle
9301,EF Academy,HEALTH_AND_FITNESS,5.0,4,15,50,Free,0.0,Everyone,Health & Fitness
8101,NOMISMA.com.cy by FMW,NEWS_AND_MAGAZINES,5.0,3,Varies with device,100,Free,0.0,Everyone,News & Magazines
4452,P-Home for KLWP,PERSONALIZATION,5.0,4,12,100,Paid,0.99,Everyone,Personalization
6330,HON. B.J. ACS COLLEGE ALE,FAMILY,5.0,3,1.8,100,Free,0.0,Mature 17+,Education
6238,Barbers.BH,LIFESTYLE,5.0,2,6.0,10,Free,0.0,Everyone,Lifestyle
6232,Bh Public School,FAMILY,5.0,2,8.7,10,Free,0.0,Everyone,Education
10629,Florida Wildflowers,FAMILY,5.0,5,69,1000,Free,0.0,Everyone,Education
9008,DW Timer,TOOLS,5.0,9,1.5,100,Free,0.0,Everyone,Tools
5509,Wowkwis aq Ka'qaquj,FAMILY,5.0,1,49,10,Free,0.0,Everyone,Education;Education
9002,DW Security,BUSINESS,5.0,6,15,100,Free,0.0,Everyone,Business
6171,BG Guide,TRAVEL_AND_LOCAL,5.0,3,2.4,100,Free,0.0,Everyone,Travel & Local
654,Speeding Joyride & Car Meet App,DATING,5.0,3,25,100,Free,0.0,Mature 17+,Dating
8572,DM Buddy » Learn Digital Marketing,FAMILY,5.0,3,1.7,500,Free,0.0,Everyone,Education
6146,ReactNative BG Geolocation,TOOLS,5.0,5,9.1,1000,Free,0.0,Everyone,Tools
10656,Wallpapers FN SCAR H,PERSONALIZATION,5.0,4,9.2,100,Free,0.0,Teen,Personalization
10659,FN,BUSINESS,5.0,14,3.3,50,Free,0.0,Everyone,Business
640,Online Girls Chat Group,DATING,5.0,5,5.0,100,Free,0.0,Mature 17+,Dating
636,Girls Live Talk - Free Text and Video Chat,DATING,5.0,6,5.0,100,Free,0.0,Mature 17+,Dating
5685,Jobs in Canada - Emplois au Canada,BUSINESS,5.0,2,14,1000,Free,0.0,Teen,Business
9010,RETRO Shocked DW-6000,PERSONALIZATION,5.0,13,0.5,100,Paid,1.49,Everyone,Personalization
10621,Florida Beach Wallpapers HD,TRAVEL_AND_LOCAL,5.0,3,12,100,Free,0.0,Everyone,Travel & Local
8526,DL Image Manager,PRODUCTIVITY,5.0,2,1.7,10,Paid,0.99,Everyone,Productivity
6266,BI News,NEWS_AND_MAGAZINES,5.0,22,25,1000,Free,0.0,Everyone,News & Magazines
9061,Cloud DX Connected Health,HEALTH_AND_FITNESS,5.0,6,11,100,Free,0.0,Everyone,Health & Fitness
6275,BI APP,FINANCE,5.0,2,2.7,100,Free,0.0,Everyone,Finance
9056,Santa's Monster Shootout DX,GAME,5.0,4,33,50,Paid,1.99,Teen,Action
9293,EF App,BUSINESS,5.0,8,20,100,Free,0.0,Everyone,Business
8417,D-H Pharmacy,LIFESTYLE,5.0,6,2.3,1000,Free,0.0,Everyone,Lifestyle
5482,meStudying: AP English Lit,FAMILY,5.0,1,0.655,10,Paid,4.99,Everyone,Education
10602,South Florida AA Meetings,LIFESTYLE,5.0,10,21,1000,Free,0.0,Everyone,Lifestyle
8493,PK and DK Audio App,FAMILY,5.0,2,3.9,100,Free,0.0,Everyone,Entertainment
5489,AP Art History Flashcards,FAMILY,5.0,1,96,10,Paid,29.99,Mature 17+,Education
5506,AQ Ria Retail,FAMILY,5.0,4,52,50,Free,0.0,Everyone,Education
5507,Accounting Quiz (AQ) Malaysia,FAMILY,5.0,25,Varies with device,1000,Free,0.0,Everyone,Education
10609,"Trinity Church Deltona, FL",LIFESTYLE,5.0,33,28,500,Free,0.0,Everyone,Lifestyle
10611,"Beacon Baptist Jupiter, FL",LIFESTYLE,5.0,14,2.6,100,Free,0.0,Everyone,Lifestyle
9039,Chronolink DX,FAMILY,5.0,7,73,10,Paid,0.99,Everyone,Puzzle
8966,DV Youth,LIFESTYLE,5.0,5,15,100,Free,0.0,Everyone,Lifestyle
6055,Movement BE,SOCIAL,5.0,20,1.2,100,Free,0.0,Teen,Social
633,Spine- The dating app,DATING,5.0,5,9.3,500,Free,0.0,Teen,Dating
5917,Ra Ga Ba,GAME,5.0,2,20,1,Paid,1.49,Everyone,Arcade
5776,Food-Aw - Order Food Online in Aruba,FOOD_AND_DRINK,5.0,1,24,100,Free,0.0,Everyone,Food & Drink
2262,Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23,100,Paid,2.99,Everyone,Medical
3957,ADS-B Driver,TOOLS,5.0,2,6.3,100,Paid,1.99,Everyone,Tools
1547,Eternal life,LIBRARIES_AND_DEMO,5.0,26,2.5,1000,Free,0.0,Everyone,Libraries & Demo
5795,Axe Champs! Wars,GAME,5.0,8,25,50,Free,0.0,Everyone,Arcade
8888,Spring flowers theme couleurs d t space,ART_AND_DESIGN,5.0,1,2.9,100,Free,0.0,Everyone,Art & Design
10820,Fr. Daoud Lamei,FAMILY,5.0,22,8.6,1000,Free,0.0,Teen,Education
5966,BC MVA Fines,BOOKS_AND_REFERENCE,5.0,5,7.2,50,Paid,1.75,Everyone,Books & Reference
8874,Dt. Jyothi Srinivas,HEALTH_AND_FITNESS,5.0,18,13,100,Free,0.0,Everyone,Health & Fitness
8869,DT CLOTHINGS,SHOPPING,5.0,1,7.9,10,Free,0.0,Everyone,Shopping
5822,Flippy Axe : Flip The Knife & Axe Simulator,GAME,5.0,7,15,100,Free,0.0,Everyone,Arcade
10837,Fr. Mike Schmitz Audio Teachings,FAMILY,5.0,4,3.6,100,Free,0.0,Everyone,Education
5852,Quran Khmer Offline AY,FAMILY,5.0,41,4.0,1000,Free,0.0,Everyone,Education
5828,A-Y Collection,SHOPPING,5.0,2,2.9,100,Free,0.0,Teen,Shopping
10776,Monster Ride Pro,GAME,5.0,1,24,10,Free,0.0,Everyone,Racing
2271,FHR 5-Tier 2.0,MEDICAL,5.0,2,1.2,500,Paid,2.99,Everyone,Medical
10690,FO Bixby,PERSONALIZATION,5.0,5,0.861,100,Paid,0.99,Everyone,Personalization
10721,Mad Dash Fo' Cash,GAME,5.0,14,16,100,Free,0.0,Everyone,Arcade
8582,Disciple Maker’s (DM) Lab,FAMILY,5.0,3,4.0,100,Free,0.0,Everyone,Education
8955,DV ASSIST,FAMILY,5.0,1,18,100,Free,0.0,Everyone,Education
10697,Mu.F.O.,GAME,5.0,2,16,1,Paid,0.99,Everyone,Arcade
6045,Helping BD,LIFESTYLE,5.0,15,4.5,100,Free,0.0,Everyone,Lifestyle
6043,Exam Result BD,FAMILY,5.0,2,2.6,500,Free,0.0,Everyone,Education
6030,iCard BD Plus,SOCIAL,5.0,2,2.4,500,Free,0.0,Everyone,Social
615,Awake Dating,DATING,5.0,2,70,100,Free,0.0,Mature 17+,Dating
5996,Railroad Radio Vancouver BC,FAMILY,5.0,4,1.7,100,Free,0.0,Teen,Entertainment
612,American Girls Mobile Numbers,DATING,5.0,5,4.4,1000,Free,0.0,Mature 17+,Dating
10742,GKPB FP Online Church,LIFESTYLE,5.0,32,7.9,1000,Free,0.0,Everyone,Lifestyle
8591,DN Blog,SOCIAL,5.0,20,4.2,10,Free,0.0,Teen,Social
8596,DN Employee,FAMILY,5.0,1,3.8,10,Free,0.0,Everyone,Education
5763,Tozer Devotional -Series 1,BOOKS_AND_REFERENCE,5.0,5,4.3,1000,Free,0.0,Everyone,Books & Reference
8601,DN Calculators,FINANCE,5.0,12,0.775,100,Free,0.0,Everyone,Finance
8411,DH-UFO,FAMILY,5.0,1,59,100,Free,0.0,Everyone,Entertainment
6272,Propel BI APP,BUSINESS,5.0,3,23,100,Free,0.0,Everyone,Business
5450,AP® Guide,FAMILY,5.0,3,2.1,1000,Free,0.0,Everyone,Education
6604,BP Log lite,LIFESTYLE,5.0,3,1.5,100,Free,0.0,Everyone,Lifestyle
8275,DC N COMPANY ENTERTAINMENT RADIO!,FAMILY,5.0,22,2.2,100,Free,0.0,Mature 17+,Entertainment
8260,"Superheroes, Marvel, DC, Comics, TV, Movies News",COMICS,5.0,34,12,5000,Free,0.0,Everyone,Comics
6467,BM SPM Practice,FAMILY,5.0,6,9.2,1000,Free,0.0,Everyone,Education
9178,i am EB,PHOTOGRAPHY,5.0,1,5.4,10,Free,0.0,Teen,Photography
9188,EB Scanner,PRODUCTIVITY,5.0,9,25,50,Free,0.0,Everyone,Productivity
6484,BM Physiotherapy Clinic,HEALTH_AND_FITNESS,5.0,3,9.3,100,Free,0.0,Everyone,Health & Fitness
6494,BM speed test,TOOLS,5.0,1,3.7,10,Free,0.0,Everyone,Tools
9194,UP EB Bill Payment & Details,SOCIAL,5.0,3,2.4,50,Free,0.0,Teen,Social
8234,DB Pickles,BUSINESS,5.0,5,14,100,Free,0.0,Everyone,Business
8230,DB HOME,LIFESTYLE,5.0,5,3.2,100,Free,0.0,Everyone,Lifestyle
10416,FH School,FAMILY,5.0,4,5.8,100,Free,0.0,Everyone,Education
9218,EB Cash Collections,BUSINESS,5.0,1,4.3,5,Free,0.0,Everyone,Business
10407,Jigsaw Volvo FH 16 Trucks,FAMILY,5.0,5,8.1,1000,Free,0.0,Teen,Puzzle
6605,MI-BP,HEALTH_AND_FITNESS,5.0,1,12,50,Free,0.0,Everyone,Health & Fitness
6422,BL Flowers Digital,SHOPPING,5.0,21,2.5,100,Free,0.0,Everyone,Shopping
9245,EC Calgary,FAMILY,5.0,6,8.1,100,Free,0.0,Teen,Education
9246,Victoria EC,TOOLS,5.0,5,3.8,500,Free,0.0,Everyone,Tools
6646,Bar-B-Q Rib House,FOOD_AND_DRINK,5.0,2,33,50,Free,0.0,Everyone,Food & Drink
9247,EC SPORTS,SPORTS,5.0,1,6.3,10,Free,0.0,Everyone,Sports
9254,EC Fairgrounds,FAMILY,5.0,3,5.5,500,Free,0.0,Everyone,Entertainment
8159,CZ Kompas,TOOLS,5.0,2,3.5,10,Free,0.0,Everyone,Tools
10357,Ríos de Fe,LIFESTYLE,5.0,141,15,1000,Free,0.0,Everyone,Lifestyle
8146,CZ-Help,BOOKS_AND_REFERENCE,5.0,2,1.4,5,Free,0.0,Everyone,Books & Reference
10349,Santa Fe Thrive,HEALTH_AND_FITNESS,5.0,2,8.3,50,Free,0.0,Everyone,Health & Fitness
10335,Safe Santa Fe,FAMILY,5.0,2,12,1000,Free,0.0,Everyone,Education
9265,EC Mover,GAME,5.0,5,4.6,10,Free,0.0,Everyone,Racing
9282,EF Events,EVENTS,5.0,7,4.4,100,Free,0.0,Teen,Events
9290,EF Forms,BUSINESS,5.0,2,23,50,Free,0.0,Everyone,Business
10326,Comunidad De Fe Minitries,LIFESTYLE,5.0,19,11,500,Free,0.0,Everyone,Lifestyle
8281,DC-014,PHOTOGRAPHY,5.0,3,16,500,Free,0.0,Everyone,Photography
2448,Dermatology Atlas (Colored & Illustrative),MEDICAL,5.0,3,20,100,Free,0.0,Everyone,Medical
10529,FK CLASSIC FOR YOU,BUSINESS,5.0,1,3.5,10,Free,0.0,Everyone,Business
8327,The Divine Feminine App: the DF App,LIFESTYLE,5.0,8,6.7,1000,Free,0.0,Everyone,Lifestyle
9119,chat dz,COMMUNICATION,5.0,8,29,100,Free,0.0,Teen,Communication
6375,Dr Bk Sachin bhai,LIFESTYLE,5.0,19,3.1,1000,Free,0.0,Everyone,Lifestyle
6391,BK Arogyam Task Track,BUSINESS,5.0,8,3.7,100,Free,0.0,Everyone,Business
6372,BK Formula Calculator,TOOLS,5.0,6,11,100,Free,0.0,Everyone,Tools
8379,DG-App,TOOLS,5.0,1,4.5,500,Free,0.0,Everyone,Tools
9089,DYPSOET,FAMILY,5.0,8,7.4,50,Free,0.0,Everyone,Education
6398,BK Gold App,FINANCE,5.0,4,11,50,Free,0.0,Everyone,Finance
8335,DF Glue Board,PARENTING,5.0,1,27,10,Free,0.0,Everyone,Parenting
8391,DG OFF - 100% Free Coupons & Deals,SHOPPING,5.0,1,1.1,10,Free,0.0,Everyone,Shopping
10564,FK Dedinje BGD,SPORTS,5.0,36,2.6,100,Free,0.0,Everyone,Sports
6364,BK Video Status,FAMILY,5.0,13,2.1,100,Free,0.0,Everyone,Entertainment
6363,Read it easy for BK,LIFESTYLE,5.0,1,3.2,50,Free,0.0,Everyone,Lifestyle
8388,Free coupons and vouchers,FINANCE,5.0,4,5.9,100,Free,0.0,Everyone,Finance
8395,DG TV,NEWS_AND_MAGAZINES,5.0,3,5.7,100,Free,0.0,Everyone,News & Magazines
8287,AC DC Power Monitor,LIFESTYLE,5.0,1,1.2,10,Paid,3.04,Everyone,Lifestyle
6342,BJ Foods,BUSINESS,5.0,3,1.5,10,Free,0.0,Everyone,Business
6396,Bk Usha behn,LIFESTYLE,5.0,10,3.0,1000,Free,0.0,Everyone,Lifestyle
8742,DQSalmaan - A fan made App,FAMILY,4.9,707,6.0,10000,Free,0.0,Everyone,Entertainment
8992,DW Audio,FAMILY,4.9,38,5.0,1000,Free,0.0,Everyone,Education
9516,Sai Baba - Sabka Malik Ek,PRODUCTIVITY,4.9,42,38,1000,Free,0.0,Everyone,Productivity
9253,EC Tax,FINANCE,4.9,8,3.1,500,Free,0.0,Everyone,Finance
4190,H*nest Meditation,LIFESTYLE,4.9,145,48,5000,Paid,1.99,Mature 17+,Lifestyle
